Name,URL
Samsung Galaxy M14,https://www.amazon.in/dp/B0BZCR6TNK
Ac,https://www.amazon.in/Daikin-Inverter-Display-Technology-MTKL50U/dp/B0BK1KS6ZD/ref=sr_1_1?_encoding=UTF8&content-id=amzn1.sym.58c90a12-100b-4a2f-8e15-7c06f1abe2be&dib=eyJ2IjoiMSJ9.LpujZ4uISPUK8sa_6yNGVRpIsC1NZyG20gIuO5aq54oPE2kANyrymdZzhCoNMjavhyPB1O4BXRgM6vPwb5VzcWK8IvTfXwV-qMalaE9wpOlyDQvN1esdvzeOeqVqUWnSf6XNnGF4u39oFiJ_-dIbT5epQl87p27k-uIcK-33Qt1023fA_mUvgMFi-r1B63EKd_OIgfJdgnHmvx8K96t8siO_O-hgTGZCUodZKuMPoA00G3vDdmoIPCT18d39wrrEDWvqis4axIJ9bYCdCx3vlpJRl1IPl1-iMrABuYNt6zY.LU59eKJJF0ElyM9z1dpKQlUTZ7f4N-3KMmg7fPdxBcA&dib_tag=se&pd_rd_r=24b1eae9-6f38-4cba-8e4b-dbbf72f1c088&pd_rd_w=WiWig&pd_rd_wg=5iq7T&qid=1750974652&refinements=p_85%3A10440599031&rps=1&s=kitchen&sr=1-1&th=1
